bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
3,1355.86,888,1550,7,2022-05,Springfield,01104,23150,40884
1,1008.33,950,1050,3,2022-06,Springfield,01104,23150,40884
2,1337.5,1100,1700,4,2022-06,Springfield,01104,23150,40884
3,1280.33,988,1500,3,2022-06,Springfield,01104,23150,40884
1,1008.33,950,1050,3,2022-07,Springfield,01104,23150,40884
2,1400.0,1400,1400,1,2022-07,Springfield,01104,23150,40884
3,1380.33,988,1800,3,2022-07,Springfield,01104,23150,40884
1,1008.33,950,1050,3,2022-08,Springfield,01104,23150,40884
2,1200.0,1000,1400,2,2022-08,Springfield,01104,23150,40884
3,1380.33,988,1800,3,2022-08,Springfield,01104,23150,40884
1,1008.33,950,1050,3,2022-09,Springfield,01104,23150,40884
2,1166.67,1000,1400,3,2022-09,Springfield,01104,23150,40884
3,1429.33,988,1800,3,2022-09,Springfield,01104,23150,40884
1,1025.0,1025,1025,1,2022-10,Springfield,01104,23150,40884
2,1066.67,1000,1100,3,2022-10,Springfield,01104,23150,40884
3,1681.33,988,2000,6,2022-10,Springfield,01104,23150,40884
4,1695.0,1695,1695,1,2022-10,Springfield,01104,23150,40884
1,1025.0,1025,1025,1,2022-11,Springfield,01104,23150,40884
2,1150.0,1000,1400,4,2022-11,Springfield,01104,23150,40884
3,1555.43,800,2000,7,2022-11,Springfield,01104,23150,40884
4,1695.0,1695,1695,1,2022-11,Springfield,01104,23150,40884
