bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
1,2314.34,800,4155,151,2021-11,Boston,02128,47804,63378
2,3058.93,1600,6110,188,2021-11,Boston,02128,47804,63378
3,2746.8,1700,4755,111,2021-11,Boston,02128,47804,63378
4,3019.5,700,4000,50,2021-11,Boston,02128,47804,63378
5,3510.42,825,4500,12,2021-11,Boston,02128,47804,63378
7,4066.67,4000,4200,3,2021-11,Boston,02128,47804,63378
0,2319.73,925,3080,44,2021-12,Boston,02128,47804,63378
1,2370.84,800,4235,183,2021-12,Boston,02128,47804,63378
2,3086.62,1700,5990,203,2021-12,Boston,02128,47804,63378
3,2746.17,1750,4500,107,2021-12,Boston,02128,47804,63378
4,3018.75,700,4400,52,2021-12,Boston,02128,47804,63378
5,3489.58,825,4300,12,2021-12,Boston,02128,47804,63378
7,4066.67,4000,4200,3,2021-12,Boston,02128,47804,63378
0,2274.52,925,3500,50,2021-10,Boston,02128,47804,63378
1,2262.02,800,4235,243,2021-10,Boston,02128,47804,63378
2,2896.56,1600,5990,324,2021-10,Boston,02128,47804,63378
3,2763.65,1700,4500,226,2021-10,Boston,02128,47804,63378
4,3115.73,700,4400,85,2021-10,Boston,02128,47804,63378
5,3541.07,825,4500,14,2021-10,Boston,02128,47804,63378
7,4050.0,4000,4200,4,2021-10,Boston,02128,47804,63378
11,2200.0,2200,2200,1,2021-10,Boston,02128,47804,63378
0,2278.94,925,3500,51,2021-09,Boston,02128,47804,63378
1,2242.9,800,4235,261,2021-09,Boston,02128,47804,63378
2,2863.34,1600,5990,354,2021-09,Boston,02128,47804,63378
3,2778.07,1700,4500,247,2021-09,Boston,02128,47804,63378
4,3165.99,700,7500,93,2021-09,Boston,02128,47804,63378
5,3541.07,825,4500,14,2021-09,Boston,02128,47804,63378
7,4050.0,4000,4200,4,2021-09,Boston,02128,47804,63378
11,2200.0,2200,2200,1,2021-09,Boston,02128,47804,63378
0,2278.94,925,3500,51,2021-08,Boston,02128,47804,63378
1,2233.57,750,4235,271,2021-08,Boston,02128,47804,63378
2,2846.49,1600,5990,364,2021-08,Boston,02128,47804,63378
3,2774.82,1700,4500,251,2021-08,Boston,02128,47804,63378
4,3157.84,700,7500,94,2021-08,Boston,02128,47804,63378
5,3541.07,825,4500,14,2021-08,Boston,02128,47804,63378
7,4050.0,4000,4200,4,2021-08,Boston,02128,47804,63378
11,2200.0,2200,2200,1,2021-08,Boston,02128,47804,63378
0,2282.09,925,3500,53,2021-07,Boston,02128,47804,63378
1,2236.17,750,4235,280,2021-07,Boston,02128,47804,63378
2,2835.11,1600,5990,371,2021-07,Boston,02128,47804,63378
3,2781.56,1700,4500,256,2021-07,Boston,02128,47804,63378
4,3166.71,700,7500,95,2021-07,Boston,02128,47804,63378
5,3541.07,825,4500,14,2021-07,Boston,02128,47804,63378
7,4050.0,4000,4200,4,2021-07,Boston,02128,47804,63378
11,2200.0,2200,2200,1,2021-07,Boston,02128,47804,63378
0,2439.15,925,6000,48,2022-01,Boston,02128,47804,63378
1,2394.47,615,4360,187,2022-01,Boston,02128,47804,63378
2,3082.89,1700,5925,203,2022-01,Boston,02128,47804,63378
3,2833.08,1750,5205,89,2022-01,Boston,02128,47804,63378
4,3131.9,700,4500,42,2022-01,Boston,02128,47804,63378
5,3460.71,825,4500,7,2022-01,Boston,02128,47804,63378
7,4000.0,4000,4000,1,2022-01,Boston,02128,47804,63378
0,2418.18,925,6000,51,2022-02,Boston,02128,47804,63378
1,2390.3,615,4125,223,2022-02,Boston,02128,47804,63378
