bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
4,5650.0,5300,6000,2,2021-04,Waltham,02452,15636,99747
5,5225.0,4950,5500,2,2021-04,Waltham,02452,15636,99747
0,1838.33,1642,2143,3,2021-05,Waltham,02452,15636,99747
1,1733.33,1200,2500,12,2021-05,Waltham,02452,15636,99747
2,1897.5,1650,2300,10,2021-05,Waltham,02452,15636,99747
3,2633.33,2400,2900,3,2021-05,Waltham,02452,15636,99747
4,5650.0,5300,6000,2,2021-05,Waltham,02452,15636,99747
5,5225.0,4950,5500,2,2021-05,Waltham,02452,15636,99747
6,4800.0,4800,4800,1,2021-05,Waltham,02452,15636,99747
0,1901.67,1595,2468,3,2021-06,Waltham,02452,15636,99747
1,1715.38,1200,2500,13,2021-06,Waltham,02452,15636,99747
2,1927.08,1700,2300,12,2021-06,Waltham,02452,15636,99747
3,2633.33,2400,2900,3,2021-06,Waltham,02452,15636,99747
4,5650.0,5300,6000,2,2021-06,Waltham,02452,15636,99747
5,5650.0,4950,6500,3,2021-06,Waltham,02452,15636,99747
6,4800.0,4800,4800,1,2021-06,Waltham,02452,15636,99747
0,2051.33,1642,2442,3,2021-11,Waltham,02452,15636,99747
1,2464.55,1650,3169,31,2021-11,Waltham,02452,15636,99747
2,3021.44,1900,4279,45,2021-11,Waltham,02452,15636,99747
3,3300.83,2400,5500,6,2021-11,Waltham,02452,15636,99747
5,5500.0,5500,5500,1,2021-11,Waltham,02452,15636,99747
6,4900.0,4900,4900,1,2021-11,Waltham,02452,15636,99747
0,2064.67,1642,2417,3,2021-12,Waltham,02452,15636,99747
1,2377.38,1500,3169,40,2021-12,Waltham,02452,15636,99747
2,3045.25,1900,4356,61,2021-12,Waltham,02452,15636,99747
3,3180.0,2400,5500,7,2021-12,Waltham,02452,15636,99747
5,5500.0,5500,5500,1,2021-12,Waltham,02452,15636,99747
6,4900.0,4900,4900,1,2021-12,Waltham,02452,15636,99747
0,2057.33,1642,2345,3,2021-10,Waltham,02452,15636,99747
1,2323.74,1500,3169,38,2021-10,Waltham,02452,15636,99747
2,2868.99,1900,4444,71,2021-10,Waltham,02452,15636,99747
3,3172.14,2400,5500,7,2021-10,Waltham,02452,15636,99747
4,4666.67,3100,6900,3,2021-10,Waltham,02452,15636,99747
5,5500.0,5500,5500,1,2021-10,Waltham,02452,15636,99747
6,4900.0,4900,4900,1,2021-10,Waltham,02452,15636,99747
10,9000.0,9000,9000,1,2021-10,Waltham,02452,15636,99747
0,2057.33,1642,2345,3,2021-09,Waltham,02452,15636,99747
1,2302.62,1500,3169,39,2021-09,Waltham,02452,15636,99747
2,2828.64,1750,4444,75,2021-09,Waltham,02452,15636,99747
3,3172.14,2400,5500,7,2021-09,Waltham,02452,15636,99747
4,4666.67,3100,6900,3,2021-09,Waltham,02452,15636,99747
5,5833.33,5500,6500,3,2021-09,Waltham,02452,15636,99747
6,4900.0,4900,4900,1,2021-09,Waltham,02452,15636,99747
10,9000.0,9000,9000,1,2021-09,Waltham,02452,15636,99747
0,2057.33,1642,2345,3,2021-08,Waltham,02452,15636,99747
1,2302.62,1500,3169,39,2021-08,Waltham,02452,15636,99747
2,2828.64,1750,4444,75,2021-08,Waltham,02452,15636,99747
3,3172.14,2400,5500,7,2021-08,Waltham,02452,15636,99747
4,4666.67,3100,6900,3,2021-08,Waltham,02452,15636,99747
5,5833.33,5500,6500,3,2021-08,Waltham,02452,15636,99747
6,4850.0,4800,4900,2,2021-08,Waltham,02452,15636,99747
10,9000.0,9000,9000,1,2021-08,Waltham,02452,15636,99747
0,2057.33,1642,2345,3,2021-07,Waltham,02452,15636,99747
1,2281.3,1450,3169,40,2021-07,Waltham,02452,15636,99747
2,2828.64,1750,4444,75,2021-07,Waltham,02452,15636,99747
3,3075.63,2400,5500,8,2021-07,Waltham,02452,15636,99747
4,4666.67,3100,6900,3,2021-07,Waltham,02452,15636,99747
5,5833.33,5500,6500,3,2021-07,Waltham,02452,15636,99747
6,4850.0,4800,4900,2,2021-07,Waltham,02452,15636,99747
10,9000.0,9000,9000,1,2021-07,Waltham,02452,15636,99747
0,1921.75,1100,2397,4,2022-01,Waltham,02452,15636,99747
1,2430.37,1500,3169,43,2022-01,Waltham,02452,15636,99747
2,3071.25,1900,4480,68,2022-01,Waltham,02452,15636,99747
3,2896.11,2400,3605,9,2022-01,Waltham,02452,15636,99747
5,5500.0,5500,5500,1,2022-01,Waltham,02452,15636,99747
0,1968.25,1100,2613,4,2022-02,Waltham,02452,15636,99747
1,2409.51,1500,3169,47,2022-02,Waltham,02452,15636,99747
2,3054.75,1850,4480,79,2022-02,Waltham,02452,15636,99747
3,2873.89,2400,3605,9,2022-02,Waltham,02452,15636,99747
4,3200.0,3200,3200,1,2022-02,Waltham,02452,15636,99747
5,5000.0,4500,5500,2,2022-02,Waltham,02452,15636,99747
6,5300.0,5000,5600,2,2022-02,Waltham,02452,15636,99747
0,2065.2,1100,2496,5,2022-03,Waltham,02452,15636,99747
1,2436.98,1500,3090,49,2022-03,Waltham,02452,15636,99747
2,3027.94,1850,4480,90,2022-03,Waltham,02452,15636,99747
3,3167.86,2400,4715,7,2022-03,Waltham,02452,15636,99747
4,3900.0,3200,5000,3,2022-03,Waltham,02452,15636,99747
5,5000.0,4500,5500,2,2022-03,Waltham,02452,15636,99747
6,5600.0,5600,5600,1,2022-03,Waltham,02452,15636,99747
0,2063.4,1100,2547,5,2022-04,Waltham,02452,15636,99747
1,2450.18,1500,3215,44,2022-04,Waltham,02452,15636,99747
2,2941.68,1850,4480,84,2022-04,Waltham,02452,15636,99747
3,2987.86,2400,4715,7,2022-04,Waltham,02452,15636,99747
4,4650.0,3200,6900,4,2022-04,Waltham,02452,15636,99747
5,5166.67,4500,5500,3,2022-04,Waltham,02452,15636,99747
6,5600.0,5600,5600,1,2022-04,Waltham,02452,15636,99747
0,2297.0,1950,2825,5,2022-05,Waltham,02452,15636,99747
1,2409.75,1500,3090,57,2022-05,Waltham,02452,15636,99747
2,3108.04,1850,4480,100,2022-05,Waltham,02452,15636,99747
3,3289.38,2400,4725,8,2022-05,Waltham,02452,15636,99747
4,4650.0,3200,6900,4,2022-05,Waltham,02452,15636,99747
5,5166.67,4500,5500,3,2022-05,Waltham,02452,15636,99747
6,5300.0,5000,5600,2,2022-05,Waltham,02452,15636,99747
0,2100.5,1100,2903,6,2022-06,Waltham,02452,15636,99747
1,2433.39,1500,3090,59,2022-06,Waltham,02452,15636,99747
2,3116.53,1850,4200,108,2022-06,Waltham,02452,15636,99747
3,3595.77,2400,4725,13,2022-06,Waltham,02452,15636,99747
4,5133.33,3500,6900,3,2022-06,Waltham,02452,15636,99747
5,6666.67,4500,10000,3,2022-06,Waltham,02452,15636,99747
6,5000.0,5000,5000,1,2022-06,Waltham,02452,15636,99747
0,2096.33,1100,2838,6,2022-07,Waltham,02452,15636,99747
1,2401.41,1300,3495,64,2022-07,Waltham,02452,15636,99747
2,3102.31,2000,4200,137,2022-07,Waltham,02452,15636,99747
3,3652.38,2400,4850,21,2022-07,Waltham,02452,15636,99747
4,5475.0,3500,6900,4,2022-07,Waltham,02452,15636,99747
5,6666.67,4500,10000,3,2022-07,Waltham,02452,15636,99747
6,5000.0,5000,5000,1,2022-07,Waltham,02452,15636,99747
0,2240.43,1100,2945,7,2022-08,Waltham,02452,15636,99747
1,2452.45,1300,3801,64,2022-08,Waltham,02452,15636,99747
2,3028.76,2000,4200,147,2022-08,Waltham,02452,15636,99747
3,3691.9,2400,4725,21,2022-08,Waltham,02452,15636,99747
4,5000.0,3500,6500,2,2022-08,Waltham,02452,15636,99747
5,7750.0,5500,10000,2,2022-08,Waltham,02452,15636,99747
6,5000.0,5000,5000,1,2022-08,Waltham,02452,15636,99747
0,2420.6,1950,2945,5,2022-09,Waltham,02452,15636,99747
1,2577.48,1300,4194,63,2022-09,Waltham,02452,15636,99747
2,3047.04,2000,4936,145,2022-09,Waltham,02452,15636,99747
3,3726.59,2600,4800,22,2022-09,Waltham,02452,15636,99747
4,5000.0,3500,6500,2,2022-09,Waltham,02452,15636,99747
5,10000.0,10000,10000,1,2022-09,Waltham,02452,15636,99747
6,5750.0,5000,6500,2,2022-09,Waltham,02452,15636,99747
8,5800.0,5800,5800,1,2022-09,Waltham,02452,15636,99747
0,2447.17,1950,2945,6,2022-10,Waltham,02452,15636,99747
1,2559.29,1300,5539,76,2022-10,Waltham,02452,15636,99747
2,3108.61,2050,5671,145,2022-10,Waltham,02452,15636,99747
3,3636.74,2600,4620,23,2022-10,Waltham,02452,15636,99747
4,6500.0,6500,6500,1,2022-10,Waltham,02452,15636,99747
6,5750.0,5000,6500,2,2022-10,Waltham,02452,15636,99747
8,5800.0,5800,5800,1,2022-10,Waltham,02452,15636,99747
0,2460.5,1950,2945,6,2022-11,Waltham,02452,15636,99747
1,2618.01,1300,5980,67,2022-11,Waltham,02452,15636,99747
2,2994.04,2050,5358,124,2022-11,Waltham,02452,15636,99747
3,3667.5,3000,4500,16,2022-11,Waltham,02452,15636,99747
4,6500.0,6500,6500,1,2022-11,Waltham,02452,15636,99747
6,5700.0,5700,5700,1,2022-11,Waltham,02452,15636,99747
8,5800.0,5800,5800,1,2022-11,Waltham,02452,15636,99747
